"ar.drop.slope","ar.drop.offset","ar1.noise.var","ar1.param","ar2.noise.var","ar2.param1","ar2.param2","ts.skewness","ts.kurtosis","ts.mean.min.median","ts.entropy1","ts.entropy2","ts.jump.max.abs.diff","ts.jump.max.abs.diff.std","ts.jump.max.abs.diff.std.len","ts.jump.max.abs.diff.std.localmean","ts.jump.max.abs.diff.std.localsum","ts.xcorr","fft.coarse.10","fft.coarse.15","fft.coarse.20","fft.coarse.25","fft.H0r.25","fft.H0r","mcorr.max","mcorr.max.grad","mcorr.max.max","mcorr.reg.2nd.max","mcorr.reg.max","mcorr.reg.mean","ts.oup.sigma","ts.oup.lambda","cluster.num","cluster.mean.min.median","cluster.max","cluster.var","cluster.skew","cluster.kurt","cluster.max1","cluster.max2","cluster.max3","negpos.entropy","negpos.abs.entropy","negpos.mean.ratio","negpos.stdmean.ratio","negpos.ratio","negpos.ratio.thresh","zxfunc.99prctl","zxfunc.95prctl","z2func.99prctl","z2func.95prctl","max.slice.prcnt","thr.max.slice.prcnt","every.2nd.single.var","every.2nd.pair.var","thr.every.2nd.single.var","thr.every.2nd.pair.var","wm.ts.coef","gm.ts.coef","csf.ts.coef","prcnt.on.csf","prcnt.on.gm","prcnt.on.wm","thr.prcnt.on.csf","thr.prcnt.on.gm","thr.prcnt.on.wm","thr.both.prcnt.on.csf","thr.both.prcnt.on.gm","thr.both.prcnt.on.wm","smoothness","smoothness.mm","std.then.tfce.max","tfce.max","thr.then.tfce","percent.on.edge.bin1","percent.on.edge.norm1","percent.of.edge1","percent.on.edge.bin2","percent.on.edge.norm2","percent.of.edge2","percent.on.edge.bin3","percent.on.edge.norm3","percent.of.edge3","percent.on.edge.bin4","percent.on.edge.norm4","percent.of.edge4","percent.on.edge.bin5","percent.on.edge.norm5","percent.of.edge5","percent.on.mask01.bin","percent.on.mask01.norm","percent.of.mask01","cc01a","cc01b","cc01c","percent.on.mask02.bin","percent.on.mask02.norm","percent.of.mask02","cc02a","cc02b","cc02c","percent.on.mask03.bin","percent.on.mask03.norm","percent.of.mask03","cc03a","cc03b","cc03c","percent.on.mask11.bin","percent.on.mask11.norm","percent.of.mask11","cc11a","cc11b","cc11c","percent.on.mask12.bin","percent.on.mask12.norm","percent.of.mask12","cc12a","cc12b","cc12c","percent.on.mask13.bin","percent.on.mask13.norm","percent.of.mask13","cc13a","cc13b","cc13c","percent.on.mask21.bin","percent.on.mask21.norm","percent.of.mask21","cc21a","cc21b","cc21c","percent.on.mask22.bin","percent.on.mask22.norm","percent.of.mask22","cc22a","cc22b","cc22c","percent.on.mask23.bin","percent.on.mask23.norm","percent.of.mask23","cc23a","cc23b","cc23c","percent.on.mask31.bin","percent.on.mask31.norm","percent.of.mask31","cc31a","cc31b","cc31c","percent.on.mask32.bin","percent.on.mask32.norm","percent.of.mask32","cc32a","cc32b","cc32c","percent.on.mask33.bin","percent.on.mask33.norm","percent.of.mask33","cc33a","cc33b","cc33c","stripe.patt","tlen","class.labs"
-0.0028,0.13286,0.12849,-0.93346,0.1278,-1.0016,0.073005,-0.99652,3.5195,-0.24053,2.9819,0.00018876,2.0625,5.6794,0.13154,8.4042,0.011357,0.9341,4.2198e+16,4.2198e+16,4.2198e+16,4.2198e+16,NA,NA,0.46113,0.32659,0.46113,0.35932,0.76318,0.20681,NA,NA,177,82.186,12103,828020,13.107,173.5,96824,4840,3160,0.9139,0.93416,0.036164,0.027128,0.0036225,0.15801,1782.2,924.83,0.04019,0.0054368,0.040993,0.031881,0.0025419,0.0034779,0.0047324,0.0041534,0.54609,0.86595,1.3762,0.09435,0.45259,0.44783,0.082382,0.49141,0.42177,0.07236,0.48759,0.43657,7.4558,3.5827,29470,73140,71787,0.090491,0.094311,0.058796,0.17028,0.17918,0.058149,0.23633,0.24033,0.056595,0.2893,0.28271,0.054611,0.3265,0.31189,0.051806,0.0022177,0.0022566,0.014304,-0.0023348,-0.013218,0.0023787,0.0080348,0.0084018,0.024584,0.003494,-0.0079333,0.010277,0.018641,0.020454,0.033809,0.012027,0.0033947,0.03139,0.00023481,0.00021487,0.0037927,-0.0046934,-0.012811,-0.004583,0.0011413,0.0010087,0.0084318,-0.0045438,-0.013646,-0.010019,0.0026168,0.0021718,0.01123,-0.0042872,-0.01171,-0.020219,0.0011724,0.001373,0.013605,-0.0019597,-0.011735,0.017625,0.0049627,0.0057985,0.028384,0.0043215,-0.0080375,0.030905,0.012903,0.015753,0.044772,0.0151,0.0021265,0.060201,0.00081055,0.00066865,0.11638,0.011425,0.020083,-0.013073,0.0020017,0.0016567,0.091485,0.012875,0.027587,-0.017761,0.0034714,0.0028284,0.078365,0.014204,0.035053,-0.0245,0.79388,746,"0"
-0.0012137,0.29645,0.29722,-0.83808,0.29293,-0.93871,0.12007,-0.30932,3.2777,-0.048708,3.1293,4.8e-05,3.7699,6.6511,0.3204,10.201,0.013786,0.83934,5.4473e+16,5.4473e+16,5.4473e+16,5.4473e+16,NA,NA,0.59639,0.16257,0.59639,0.47625,0.68574,0.16658,NA,NA,202,76.475,7905,436850,10.447,114.6,63240,40848,4824,0.91067,0.93264,0.011602,0.0088062,0.019361,0.067168,1305.5,708.83,0.037678,0.0036373,0.055915,0.042642,0.0027832,0.0084967,0.0037703,0.013664,0.03791,1.3456,1.3466,0.10731,0.43099,0.45652,0.1169,0.42069,0.45739,0.11399,0.40803,0.47348,9.0055,3.6521,29925,80425,79127,0.064807,0.068147,0.044917,0.13172,0.13854,0.047981,0.19488,0.20017,0.049781,0.25354,0.25486,0.051051,0.30825,0.30399,0.052173,0.00090573,0.00071353,0.0062313,-0.006569,-0.016469,-0.018748,0.0033783,0.002626,0.011026,-0.0059748,-0.015926,-0.031029,0.0076081,0.0059646,0.01472,-0.0046152,-0.01177,-0.042456,0.00035822,0.00025865,0.006172,-0.0042239,-0.012337,-0.017021,0.0015891,0.0011747,0.012524,-0.0032556,-0.012131,-0.025804,0.0040226,0.0030182,0.018415,-0.0010836,-0.0081608,-0.036237,2.8399e-05,1.8157e-05,0.00035155,-0.0068158,-0.015461,-0.010148,0.00033101,0.00021958,0.0020195,-0.00844,-0.018326,-0.018588,0.0011997,0.0008234,0.0044405,-0.0091939,-0.018823,-0.025814,0.00051911,0.00043673,0.079506,0.0067223,0.016068,-0.0098501,0.001499,0.0012604,0.073077,0.0090766,0.021345,-0.013878,0.0026514,0.0023179,0.063848,0.010087,0.026246,-0.014123,0.88602,746,"0"
-0.0096743,0.23138,0.23023,-0.87719,0.21512,-0.65246,-0.25619,-0.031132,2.6302,-0.054847,3.159,0.00039437,2.1381,4.3203,0.24426,5.5406,0.0074873,0.87764,3.9592e+16,3.9592e+16,3.9592e+16,3.9592e+16,NA,NA,0.36876,0.25,0.36876,0.17844,0.18505,0.10542,NA,NA,265,26.125,4230,68203,15.727,252.88,33840,2568,2272,0.91505,0.94314,0.017512,0.011653,0.021567,0.082128,1106.9,718.96,0.026385,0.0027359,0.04007,0.045143,0.0030361,0.0097518,0.010266,0.026991,1.9334,2.1699,0.7351,0.10602,0.43384,0.45428,0.11967,0.42276,0.45143,0.11384,0.40641,0.47447,8.0489,3.6342,20340,31943,29685,0.068219,0.062928,0.028699,0.12917,0.11837,0.02856,0.18028,0.16428,0.027952,0.22722,0.20528,0.027771,0.26627,0.23946,0.027355,0.0012998,0.0012043,0.0054278,-0.0041283,-0.018694,-0.011021,0.0032664,0.0029318,0.0064709,-0.0048149,-0.018979,-0.02173,0.0064155,0.0057207,0.007534,-0.005011,-0.014716,-0.032218,0.00012732,0.00010628,0.0013315,-0.0041876,-0.015175,-0.010986,0.00068801,0.00058029,0.0032911,-0.0047751,-0.016641,-0.017485,0.002242,0.0019536,0.0062299,-0.0041303,-0.013448,-0.025173,0.00022348,0.00019331,0.0016792,-0.004655,-0.017356,-0.010687,0.00092653,0.00082989,0.0034312,-0.0052613,-0.019795,-0.012717,0.0021918,0.0019848,0.0049242,-0.0055027,-0.019416,-0.016506,0.00094898,0.00090475,0.08822,0.011035,0.02145,-0.0056649,0.0017895,0.0016355,0.052953,0.008939,0.025595,-0.012624,0.0023341,0.002078,0.034116,0.0064464,0.030275,-0.018181,0.75691,746,"0"
-0.00087751,0.13954,0.138,-0.92834,0.13776,-0.88998,-0.041325,0.74934,4.4932,0.072448,3.0691,0.00060459,1.7764,4.8205,0.13545,6.8414,0.0092451,0.93194,4.0738e+16,4.0738e+16,4.0738e+16,4.0738e+16,NA,NA,0.2443,0.082272,0.2443,0.25087,0.33964,0.12336,NA,NA,196,75.423,12037,741260,13.759,191.47,96296,5768,4904,0.91261,0.93852,0.10648,0.073815,0.073987,0.39048,1677.1,911.69,0.032997,0.0041188,0.051356,0.052782,0.00040538,0.0077502,0.00034083,0.0091174,1.19,0.35516,1.1247,0.10635,0.4528,0.43447,0.12125,0.48297,0.38848,0.11514,0.48663,0.3915,8.2177,3.4757,17104,35764,32802,0.097964,0.10182,0.065282,0.2056,0.21321,0.072009,0.31096,0.32017,0.076372,0.40348,0.41058,0.078113,0.4754,0.47857,0.077362,0.00047068,0.00037775,0.0031134,-0.0077888,-0.019505,-0.018685,0.0018512,0.001521,0.0058091,-0.0089377,-0.019694,-0.027235,0.0042027,0.003425,0.0078178,-0.0096803,-0.016473,-0.039947,0.00018834,0.00016017,0.00312,-0.004986,-0.014459,-0.011766,0.001101,0.00092694,0.0083427,-0.0047296,-0.015455,-0.019527,0.002747,0.0022676,0.012091,-0.0040388,-0.012867,-0.030727,0.00015179,0.0001224,0.0018065,-0.0061743,-0.016894,-0.0097312,0.00045915,0.00038178,0.0026934,-0.0079227,-0.019796,-0.012296,0.00097652,0.00080358,0.0034752,-0.0094748,-0.020913,-0.018387,0.00013055,9.5186e-05,0.019224,-5.6351e-05,0.012606,-0.011518,0.00033521,0.00025299,0.015712,-0.00070335,0.019206,-0.015043,0.00058681,0.00044982,0.013586,-0.0014523,0.025017,-0.018071,0.8626,746,"1"
-0.0047077,0.21328,0.21015,-0.88857,0.20386,-0.7348,-0.17306,-1.2189,4.1213,-0.24733,2.8847,0.0011494,2.2568,4.8004,0.22043,6.7851,0.0091691,0.88952,4.6038e+16,4.6038e+16,4.6038e+16,4.6038e+16,NA,NA,0.72279,0.49823,0.72279,0.27364,0.83648,0.18941,NA,NA,210,83.876,15875,1198700,14.365,207.57,127000,3168,2120,0.9102,0.93186,0.10776,0.080228,0.054424,0.37096,1515.2,722.16,0.05665,0.0039171,0.031083,0.029919,0.0092057,0.014748,0.015445,0.017962,1.2604,1.964,1.1587,0.13175,0.47199,0.38821,0.17923,0.52904,0.28038,0.19627,0.53302,0.25768,3.2802,3.1057,30907,85784,84467,0.09563,0.092504,0.075428,0.20916,0.20912,0.086707,0.33297,0.34712,0.096797,0.45112,0.48378,0.10337,0.54194,0.58377,0.10439,0.00083158,0.0009981,0.0065109,-0.0072692,-0.016633,0.021191,0.0041308,0.0051008,0.015343,-0.0047282,-0.013211,0.042623,0.010868,0.012991,0.023929,0.0004498,-0.0047767,0.052739,0.00050364,0.00076703,0.0098753,-0.0037233,-0.011156,0.048129,0.0029673,0.004269,0.026612,0.0012583,-0.0064326,0.068992,0.008123,0.011001,0.042319,0.0092717,0.0034528,0.082791,0.00012023,8.2828e-05,0.0016938,-0.0068716,-0.015562,-0.010461,0.00036092,0.00025381,0.002506,-0.008927,-0.018633,-0.014947,0.00099954,0.00073764,0.0042104,-0.010276,-0.019549,-0.021997,0.00020771,0.00014824,0.036203,0.0013769,0.011529,-0.013609,0.00080724,0.00058138,0.044786,0.0034773,0.01816,-0.021345,0.0017825,0.0012804,0.048849,0.0055744,0.024973,-0.029849,1.1955,746,"1"
-0.0033244,0.14526,0.14146,-0.92647,0.13946,-0.81623,-0.119,-0.21974,2.3904,-0.051366,3.1924,0.00051628,1.8411,4.8146,0.14583,6.3526,0.0085847,0.92695,3.9253e+16,3.9253e+16,3.9253e+16,3.9253e+16,NA,NA,0.44401,0.21154,0.44401,0.35682,0.40575,0.11485,NA,NA,237,67.844,14039,830920,15.256,234.15,112310,3824,2080,0.91216,0.93689,0.09126,0.064278,0.045567,0.3632,1881.7,880.03,0.030314,0.0039375,0.022939,0.022882,0.0051826,0.010716,0.0059267,0.014286,2.0206,2.626,1.2127,0.10277,0.45708,0.43465,0.10794,0.49503,0.39221,0.10541,0.49815,0.39192,4.4984,3.4772,16301,38261,35878,0.098612,0.09827,0.07361,0.1806,0.17569,0.070856,0.24398,0.2328,0.067123,0.29508,0.27751,0.063992,0.32852,0.30619,0.059886,0.0017785,0.0018545,0.013178,-0.0039512,-0.01529,0.006699,0.0061755,0.0068435,0.021708,-0.0002249,-0.010973,0.028514,0.015964,0.017844,0.033266,0.008616,0.00026258,0.047806,0.0003723,0.00031133,0.0069087,-0.0043127,-0.013473,-0.01302,0.0016101,0.0014932,0.013666,-0.003311,-0.013402,-0.010191,0.0047874,0.0046707,0.023604,0.00076557,-0.0078806,-0.0055659,0.0010397,0.0012316,0.013862,-0.0026804,-0.013043,0.023271,0.0037834,0.0046846,0.02486,0.0012256,-0.010759,0.048899,0.0094842,0.011733,0.037809,0.0086851,-0.0037954,0.0729,0.00036644,0.00031159,0.060445,0.0042151,0.016394,-0.0097619,0.00095915,0.00080351,0.050361,0.0047082,0.023316,-0.015766,0.0019937,0.0016771,0.051706,0.0066482,0.030433,-0.021865,1.0289,746,"1"
-0.0024057,0.20774,0.20446,-0.89178,0.20422,-0.92206,0.033955,-0.7971,4.3144,-0.068921,3.1095,0.00025597,2.2129,4.817,0.21049,6.4936,0.0087751,0.89432,4.7434e+16,4.7434e+16,4.7434e+16,4.7434e+16,NA,NA,0.33915,0.096308,0.33915,0.58408,0.83878,0.30805,NA,NA,286,53.21,10786,409090,16.573,278.25,86288,6296,3976,0.91408,0.93941,0.13751,0.094426,0.090849,0.4972,2525.5,1192.2,0.031511,0.0034361,0.033549,0.030628,0.0032475,0.0073172,0.0092359,0.0099906,0.22423,0.9672,0.956,0.098673,0.43805,0.45846,0.094838,0.44294,0.45864,0.091244,0.43257,0.47278,9.8694,3.6677,23026,50221,47728,0.098046,0.097426,0.070867,0.17815,0.17432,0.067678,0.24942,0.24268,0.066444,0.30331,0.29549,0.063692,0.34498,0.33831,0.06089,0.0010439,0.0010668,0.0074896,-0.0062638,-0.01792,0.0031511,0.0039105,0.0039167,0.01331,-0.0049847,-0.01584,0.00037284,0.0089982,0.0087477,0.018155,-0.0025211,-0.0091833,-0.0093344,7.9794e-05,7.043e-05,0.0014338,-0.0057603,-0.014863,-0.0071223,0.00069818,0.00063985,0.005738,-0.0062538,-0.015946,-0.0099379,0.0023491,0.0021499,0.011215,-0.0051776,-0.012802,-0.01548,0.00035892,0.00037666,0.0046335,-0.0055492,-0.016423,0.0045768,0.0014341,0.0013997,0.0091245,-0.0054824,-0.018,-0.0034475,0.0035529,0.0033641,0.013714,-0.004298,-0.016377,-0.011481,0.00060517,0.00061971,0.096658,0.0084015,0.020752,0.0024764,0.0018996,0.001989,0.096576,0.012717,0.031517,0.007349,0.0034242,0.0035293,0.085989,0.014728,0.040892,0.0059459,0.83365,746,"1"
-0.0072125,0.50411,0.49652,-0.70909,0.49409,-0.65945,-0.070009,0.47062,3.6575,0.050568,3.1284,0.00019074,3.3851,4.4364,0.58065,5.9568,0.0080497,0.70923,6.0302e+16,6.0302e+16,6.0302e+16,6.0302e+16,NA,NA,0.55759,0.27442,0.55759,0.32615,0.61846,0.14488,NA,NA,258,45.829,7098,199030,15.37,242.81,56784,5656,4896,0.91237,0.9379,0.013672,0.0098622,0.0081925,0.090852,1171.4,668.13,0.027507,0.0026715,0.0549,0.045559,0.00022043,0.0045748,0.00053042,0.006373,0.05875,1.4501,1.4929,0.107,0.43675,0.45004,0.11691,0.44138,0.43608,0.1182,0.43291,0.44286,7.1775,3.6003,36432,75698,74276,0.069292,0.065307,0.039652,0.13716,0.12917,0.041252,0.20898,0.2009,0.044076,0.27796,0.2771,0.046211,0.33866,0.3427,0.047326,0.00042746,0.00033071,0.0024281,-0.0073322,-0.018022,-0.017457,0.002133,0.0017003,0.0057479,-0.0077445,-0.017459,-0.027562,0.0060471,0.004975,0.0096597,-0.0063734,-0.012539,-0.036752,0.00014333,0.00010506,0.002039,-0.0048211,-0.013678,-0.013294,0.00069797,0.00053305,0.0045416,-0.0055526,-0.015062,-0.017945,0.0017905,0.0014121,0.0067676,-0.0058031,-0.013069,-0.023514,0.00015351,0.00011834,0.0015689,-0.0057074,-0.015622,-0.011434,0.00090318,0.00073573,0.0045496,-0.0062092,-0.01738,-0.01706,0.0027706,0.0023041,0.0084671,-0.0053193,-0.016252,-0.023923,0.00013061,0.00010731,0.016517,-5.111e-05,0.012792,-0.0064659,0.00053899,0.00043766,0.021695,0.00090454,0.020237,-0.012492,0.0015893,0.0013541,0.031599,0.0037508,0.028355,-0.015915,0.88155,746,"1"
-0.02845,0.40492,0.38798,-0.78199,0.35913,-0.56876,-0.27268,0.0095251,3.287,-0.030793,3.1404,4.5075e-05,2.0132,3.0657,0.43008,3.7039,0.0050053,0.7841,5.1245e+16,5.1245e+16,5.1245e+16,5.1245e+16,NA,NA,0.29182,0.30627,0.30627,0.28983,0.29929,0.16032,NA,NA,177,93.537,15128,1292000,13.164,174.51,121020,4376,1256,0.91082,0.93327,0.022234,0.016775,0.026946,0.1023,1475.9,845.25,0.044943,0.0054565,0.038996,0.030991,0.0035963,0.017988,0.0045643,0.026517,0.26884,0.48238,0.20302,0.096885,0.47341,0.42265,0.084006,0.52349,0.38474,0.079332,0.54626,0.36588,7.8528,3.3812,44126,118810,117660,0.097237,0.091146,0.069459,0.17759,0.16266,0.066673,0.23889,0.21517,0.062894,0.28326,0.25132,0.058783,0.31264,0.27387,0.054537,0.0024313,0.0021229,0.01724,-0.0017635,-0.012901,-0.016649,0.0083572,0.0074916,0.028112,0.0043408,-0.0082043,-0.022028,0.01958,0.018089,0.039043,0.014098,0.0022959,-0.023617,0.00030839,0.00025712,0.0054763,-0.0045464,-0.012286,-0.009331,0.0016902,0.0014448,0.013728,-0.0029757,-0.012104,-0.015224,0.0049437,0.0043419,0.023326,0.0011265,-0.0075947,-0.01928,0.00067074,0.00057636,0.0085574,-0.0041899,-0.013301,-0.011017,0.0031782,0.0029727,0.019985,-0.00051401,-0.012169,-0.0090085,0.0091474,0.008982,0.034896,0.0077673,-0.0055793,-0.0039493,0.0014522,0.0012894,0.22923,0.02336,0.026548,-0.011013,0.003915,0.0034488,0.19671,0.029867,0.036693,-0.01615,0.0066335,0.0058431,0.16463,0.032902,0.045006,-0.020253,0.86225,746,"1"
-0.096674,0.90113,0.88398,-0.33887,0.78544,-0.22574,-0.33387,0.34526,2.9333,0.027503,3.1601,7.7997e-06,3.21,2.7897,1.3205,3.27,0.0044189,0.33887,5.883e+16,5.883e+16,5.883e+16,5.883e+16,NA,NA,0.47399,0.28989,0.47399,0.34043,0.79987,0.20049,NA,NA,321,56.227,10544,357880,16.868,295.17,84352,9024,7936,0.91351,0.93934,0.099367,0.066889,0.08289,0.52302,1310.3,746.17,0.037154,0.0041289,0.022819,0.02356,0.0038191,0.0052768,0.0065266,0.009484,0.90414,1.2617,0.87118,0.10952,0.45829,0.4237,0.12909,0.49847,0.35773,0.12754,0.50124,0.35501,5.003,3.3896,8781.1,20681,16435,0.07897,0.076388,0.066796,0.15511,0.14924,0.068956,0.22622,0.21676,0.070523,0.28996,0.2783,0.071254,0.34104,0.32766,0.070442,0.0015449,0.0015024,0.012971,-0.0050315,-0.017191,-0.0051414,0.0056201,0.0057173,0.022386,-0.0015056,-0.013711,0.0055585,0.013728,0.014055,0.032413,0.0053585,-0.0046324,0.011206,0.00028567,0.00028911,0.0060069,-0.0050849,-0.014388,0.0012066,0.0017021,0.0016797,0.01637,-0.0032023,-0.014218,-0.0025163,0.0048989,0.0047628,0.02737,0.00111,-0.009312,-0.0078811,0.00049629,0.00048803,0.0074976,-0.0053776,-0.016127,-0.0017144,0.001785,0.0019488,0.01329,-0.0048588,-0.016974,0.01667,0.0047849,0.0053114,0.021614,-0.0017674,-0.013919,0.031212,0.0007629,0.00072526,0.1426,0.012152,0.021914,-0.0062251,0.0022365,0.0021993,0.13306,0.016921,0.03262,-0.0032242,0.0044555,0.0044502,0.13094,0.02236,0.043265,-0.00030852,1.0431,746,"0"
