vol_num,question_num,keystrokes
1,[],[]
2,[],[]
3,[],[]
4,[],[]
5,[],[]
6,[],[]
7,[],[]
8,[],[]
9,[],[]
10,[],[]
11,[],[]
12,[],[]
13,[],[]
14,[],[]
15,[],[]
16,[],[]
17,[],[]
18,[],[]
19,[1],[]
20,[1],[]
21,[1],[]
22,[1],[]
23,[1],[]
24,[1],[]
25,[1],"['<K:S>', 'd']"
26,[1],"['=', '<K:BS>']"
27,[1],"['<K:BS>', '<K:S>']"
28,[1],"['c', 'i', 't', 'i']"
29,[1],"['e', 's', ' ', 's', 'h']"
30,[1],"['o', 'u', 'l', 'd', ' ']"
31,[1],"['s', 't']"
32,[1],"['r', 'i']"
33,[1],"['b', 'e', ' ', '<K:BS>']"
34,[1],"['<K:BS x=2>', 'v', 'e', ' ']"
35,[1],"['t', 'o', ' ']"
36,[1],"['p', 'r', 'e']"
37,[1],"['s', 'e']"
38,[1],['r']
39,[1],"['v', 'e']"
40,[1],"[' ', 't', 'h', 'e']"
41,[1],"['i', 'r', ' ', 'h']"
42,[1],"['e', 'r', 'i', 't']"
43,[1],"['a', 'g', 'e']"
44,[1],"['.', ' ', '<K:S>', 'i']"
45,[1],[]
46,[1],['t']
47,[1],"[' ', 'i', 's', ' ', 'i']"
48,[1],"['m', 'p', 'o', 'r', 't', 'a']"
49,[1],"['n', 't', ',', ' ']"
50,[1],"['e', 'v', 'e', 'n', ' ']"
51,[1],"['i', 'n', ' ']"
52,[1],"['c', 'v', '<K:BS>']"
53,[1],"['a', 's', 'e']"
54,[1],"['s', ' ', 'o']"
55,[1],"['f', 'g', ' ', '<K:BS x=2>']"
56,[1],[' ']
57,[1],['b']
58,[1],"['a', 'd']"
59,[1],"[' ', 'h']"
60,[1],"['i', 's', 't', 'o', 'r']"
61,[1],"['y', ',', ' ']"
62,[1],"['t', 'o', ' ']"
63,[1],"['l', 'e', 'a']"
64,[1],['r']
65,[1],"['n', ' ', 'a']"
66,[1],['<K:BS>']
67,[1],"['f', 'r']"
68,[1],"['o', 'm', ' ']"
69,[1],"['m', 'i', 's', 't', 'a']"
70,[1],"['k', 'e', 's']"
71,[1],"[',', ' ']"
72,[1],[]
73,[1],[]
74,[1],[]
75,[1],[]
76,[1],"['c', 'h', 'e', 'r']"
77,[1],"['i', 's']"
78,[1],['h']
79,[1],[]
80,[1],[' ']
81,[1],[]
82,[1],[]
83,[1],"['i', 't']"
84,[1],"[' ', '<K:BS>']"
85,[1],[]
86,[1],"[""'""]"
87,[1],"['s', ' ']"
88,[1],['p']
89,[1],"['a', 's']"
90,[1],"['t', ',']"
91,[1],"[' ', 'a', 'd']"
92,[1],"['n', ' ', 'r', 'e']"
93,[1],['<K:BS x=3>']
94,[1],"['<K:BS x=2>', 'n']"
95,[],['g']
96,[],[]
97,[],[]
98,[],[]
99,[],[]
100,[],[]
101,[],[]
102,[2],[]
103,[2],[]
104,[2],[]
105,[2],[]
106,[2],[]
107,[2],[]
108,[2],['<K:S>']
109,[2],['<K:S x=5>']
110,[2],"['<K:S x=20>', 't']"
111,[2],"['o', 'u', 'r', 's', ' ']"
112,[2],"['a', 'r', 'e', ' ']"
113,[2],"['n', 't', 'o', ' ', 't', 'h', 'e', ' ']"
114,[2],['<K:BS>']
115,[2],"[' ', 'b', 'e', 's']"
116,[2],"['t', ' ', 'w']"
117,[2],"['a', 'i', 'y']"
118,[2],"['<K:BS x=2>', 'u', 'y']"
119,[2],"['<K:BS>', ' ']"
120,[2],"['t', 'o', ' ']"
121,[2],['e']
122,[2],"['x', 'p', 'e']"
