participant-id,category,timestamp,prompt,answer,stimulus-id,previous-delay,stimulus_time
203,0,268363449.647095,"Fill in the blank below","The lectures on quantum physics were invariably dull; the lecturer ____presented____ his ill-prepared material in a manner guaranteed to send even the most ardent student to sleep.",9,12988.211225976633,30000
203,0,268397233.152493,"Fill in the blank below","The progress of the disease is subtle; it ____progresses____ stealthily without any symptoms in the early stages.",10,3744.7945190963533,30000
203,0,268430026.997568,"Fill in the blank below","Over the years the anthropologist's opinions had ossified: he refused to tolerate new ideas and nothing could ____change____ his mind.",13,2761.4762319810216,30000
203,0,268463000.68245,"Fill in the blank below","According to the ancient Greek philosopher Plato, only philosophy can provide genuine understanding because it scrutinizes assumptions that other areas of study merely ____take____ for granted.",12,2935.2174094410257,30000
203,0,268500732.561036,"Fill in the blank below","Once his integrity had been challenged, the mayoral candidate was quick both to dismiss these attacks and to ____make____ counterattacks.",14,7705.23624411462,30000
203,0,268536364.50365,"Fill in the blank below","In frigid regions a ________ of ice under the soil surface prevents water from sinking deep into the soil, and so the water floods the land, helping to create bog and swamp conditions.",3,5609.476819065325,30000
203,0,268573288.268679,"Fill in the blank below","Brian was so fond of his dog that their brief ____separation____ left him not just saddened, but in a state of sorrow.",5,6893.228336042244,30000
203,0,268606815.574736,"Fill in the blank below","The admiral rescinded her ____order____ to attack when she saw the white flag raised by the enemy sailors; she was relieved that she could bring an end to the hostilities.",1,3488.2690966279965,30000
203,0,268642136.882056,"Fill in the blank below","In addition to evaluating ____quality____ of resumes and references, some employers want to supplement the hiring process by employing graphologists to study applicants' handwriting for character analysis.",7,5284.599831889362,30000
203,0,268676341.199914,"Fill in the blank below","Using detailed observations made by ancient astronomers in China, Korea, and Japan to complement data ____gotten____ by modern instruments, scientists can establish precisely when a particular star exploded.",11,4176.976365966724,30000
203,0,268710915.948475,"Fill in the blank below","The library's ____collection____ is a trove of Asian American historical documents, including rare materials about race relations.",4,4537.161960269326,30000
203,0,268748868.055998,"Fill in the blank below","Since the foreign correspondent was accustomed to completing his ____work____ under tumultuous conditions, the commotion of the subway at rush hour presented no impediment to his creativity.",6,7920.602984468473,30000
203,0,268783778.010008,"Fill in the blank below","Because he had decided not to glorify himself through the sales of his new product, the inventor anonymously ____donated____ all profits to charity.",15,4878.751205691574,30000
203,0,268818266.787306,"Fill in the blank below","New York fashion designer Anna Sui creates eclectic ____pieces____ that represent an amalgam of playful, 1970's funky style fused with an edgy, urban sensibility.",8,4468.409017729596,30000
203,0,268850994.322068,"Fill in the blank below","To reach Simonville, the traveller needs to drive with extreme caution along the windy curves of the ____wimding____ road that climbs steeply to the summit.",0,2704.8186297026477,30000
203,0,268888496.232097,"Fill in the blank below","Angered that the book arrived in the mail in such a shabby condition, Elliot insisted that the bookseller ____replace____ it with a new copy.",16,7468.652771014352,30000
203,0,268925952.876528,"Fill in the blank below","Architects define a physical structure as a set of materials arranged in such a way that these materials can resist the downward ____force____ of gravity.",2,7434.117350922725,30000
