id,order,age,gender,sex,native_language,semesters_experience,GPA,Autism_Spectrum_Quotient,GPE_PANAS,GNE_PANAS,Fear_PANAS,Hostility_PANAS,Guilt_PANAS,Sadness_PANAS,Joviality_PANAS,Self_Assurance_PANAS,Attentiveness_PANAS,Shyness_PANAS,Fatigue_PANAS,Serenity_PANAS,Surprise_PANAS,Need_for_Cognition,correct,complete,prose_correct,prose_complete,code_correct,code_complete,"even_correct_two_category (avg=37.03, std=7.84)","even_correct_three_category (avg=37.03, std=7.84)","even_complete_two_category (avg=28.83,std=6)","even_complete_three_category (avg=28.83,std=6)","even_prose_correct_two_category (avg=23.90,std=3.54)","even_prose_correct_three_category (avg=23.90,std=3.54)","even_prose_complete_two_category (avg=16.72,std=1.16)","even_prose_complete_three_category (avg=16.72,std=1.16)","even_code_correct_two_category (avg=13.14,std=5.6)","even_code_correct_three_category (avg=13.14,std=5.6)","even_code_complete_two_category (avg=12.1,std=6.05)","even_code_complete_three_category (avg=12.1,std=6.05)","std_correct_three_category (avg=37.03, std=7.84)","std_complete_three_category (avg=28.83,std=6)","std_prose_correct_three_category (avg=23.90,std=3.54)","std_prose_complete_three_category (avg=16.72,std=1.16)","std_code_correct_three_category (avg=13.14,std=5.6)","std_code_complete_three_category (avg=12.1,std=6.05)",Harder,Similar,Typing Constraints,Code_more_structured,Prose_FITB_Instinct_vs_Solved,Prose_LR_Instinct_vs_Solved,Code_FITB_Instinct_vs_Solved,Code_LR_Instinct_vs_Solved
101,123,24,female,female,english,8,3.45,30,32,17,11,10,6,10,22,21,15,6,14,10,9,14,33,21,26,17,7,4,low ,low ,low ,low ,high ,high ,high ,moderate ,low ,low ,low ,low ,moderate ,low,moderate,moderate,low,low,C,N,Y,Y,I,I,S,S
102,123,21,male,male,english,8,,23,34,16,10,12,19,13,28,20,14,9,9,13,7,23,48,37,26,17,22,20,high ,high ,high ,high ,high ,high ,high ,moderate ,high ,high ,high ,high ,high ,high,moderate,moderate,high,high,X,N,X,X,S,X,X,I
105,123,21,male,male,english,6,3.2,17,35,21,13,17,9,7,34,13,15,4,16,15,8,22,31,22,21,15,10,7,low ,low ,low ,low ,low ,low ,low ,low ,low ,low ,low ,low ,moderate ,moderate,moderate,low,moderate,moderate,P,N,X,X,S,S,I,I
108,1032,22,fluid,female,spanish and english,8,2.7,22,37,28,15,12,9,16,22,18,17,8,18,10,7,17,45,37,25,17,20,20,high ,high ,high ,high ,high ,moderate ,high ,moderate ,high ,high ,high ,high ,high ,high,moderate,moderate,high,high,,,,,,,,
109,1023,23,female,female,english,6,3.43,,,,,,,,,,,,,,,,31,28,18,18,13,10,low ,low ,low ,moderate ,low ,low ,high ,high ,low ,moderate ,low ,moderate ,moderate ,moderate,low,high,moderate,moderate,X,N,X,X,S,X,S,S
111,123,22,male,male,english,8,3.1,14,23,25,9,14,19,14,22,12,9,12,15,10,7,6,39,31,25,17,14,14,low ,moderate ,high ,moderate ,high ,moderate ,high ,moderate ,high ,moderate ,high ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,C,N,Y,,I,I,I,S
112,123,21,male,male,english,5,3.4,25,26,28,15,12,16,11,19,16,12,13,14,6,5,-5,40,31,25,15,15,16,high ,moderate ,high ,moderate ,high ,moderate ,low ,low ,high ,moderate ,high ,moderate ,moderate ,moderate,moderate,low,moderate,moderate,X,Y,X,Y,X,X,S,S
117,123,,male,male,,,,23,34,17,9,12,8,8,26,16,17,7,16,6,6,14,44,34,25,16,19,18,high ,high ,high ,high ,high ,moderate ,low ,low ,high ,high ,high ,high ,moderate ,moderate,moderate,moderate,high,moderate,C,N,X,Y,S,S,X,S
118,123,21,male,male,english,6,3.42,11,27,19,9,10,6,13,17,15,13,9,14,11,4,16,41,34,26,17,15,17,high ,high ,high ,high ,high ,high ,high ,moderate ,high ,moderate ,high ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,C,X,X,X,S,S,X,S
119,3201,20,female,female,english,4,3.4,19,24,16,9,11,7,6,25,15,8,5,16,6,3,10,46,34,26,17,20,17,high ,high ,high ,high ,high ,high ,high ,moderate ,high ,high ,high ,moderate ,high ,moderate,moderate,moderate,high,moderate,X,N,X,X,S,I,X,X
121,2301,22,male,male,english,4,3.52,10,41,17,9,13,8,9,34,23,16,5,10,15,9,23,30,19,26,16,4,3,low ,low ,low ,low ,high ,high ,low ,low ,low ,low ,low ,low ,moderate ,low,moderate,moderate,low,low,X,N,X,X,X,X,X,S
122,123,21,male,male,english,6,3.7,26,35,17,9,13,16,19,25,20,15,10,15,10,4,25,49,39,26,17,23,22,high ,high ,high ,high ,high ,high ,high ,moderate ,high ,high ,high ,high ,high ,high,moderate,moderate,high,high,X,Y,X,X,S,I,I,I
125,1320,20,male,male,english,3,3.35,17,36,12,7,11,8,8,29,23,14,7,12,10,10,22,40,29,24,17,16,12,high ,moderate ,high ,moderate ,low ,low ,high ,moderate ,high ,moderate ,low ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,C,Y,X,X,I,I,S,S
129,1032,19,female,female,english,6,3.65,26,33,14,8,10,10,7,32,22,10,5,9,9,6,20,43,34,25,16,18,18,high ,high ,high ,high ,high ,moderate ,low ,low ,high ,high ,high ,high ,moderate ,moderate,moderate,moderate,moderate,moderate,C,Y,X,X,I,I,S,S
130,1023,19,female,female,english,4,3.41,27,25,12,7,11,6,8,28,12,12,5,11,13,3,20,41,27,25,16,16,11,high ,moderate ,low ,moderate ,high ,moderate ,low ,low ,high ,moderate ,low ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,X,Y,X,X,X,X,X,X
131,213,22,male,male,english,4,3.5,30,25,28,13,16,15,12,22,12,14,6,10,7,10,11,9,16,9,16,0,0,low ,low ,low ,low ,low ,low ,low ,low ,low ,low ,low ,low ,low ,low,low,moderate,low,low,X,N,X,X,X,X,X,X
133,1302,20,male,male,english,4,3.48,15,32,34,22,20,21,20,21,19,16,16,11,6,9,21,42,33,24,16,18,17,high ,high ,high ,high ,low ,low ,low ,low ,high ,high ,high ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,X,N,X,X,X,X,X,S
134,2130,19,male,male,english,4,3.4,23,34,25,16,9,12,9,17,20,16,6,17,4,5,20,26,29,18,21,8,8,low ,low ,low ,moderate ,low ,low ,high ,high ,low ,low ,low ,low ,low ,moderate,low,high,moderate,moderate,X,N,X,X,X,S,S,S
138,1032,23,male,male,english,6,3,19,32,29,18,13,15,18,25,19,13,9,12,6,9,30,35,26,25,18,10,8,low ,moderate ,low ,low ,high ,moderate ,high ,high ,low ,low ,low ,low ,moderate ,moderate,moderate,high,moderate,moderate,X,Y,X,X,S,X,X,X
140,3201,20,female,female,english,4,2.5,22,36,20,14,11,15,10,31,16,16,12,14,8,6,27,41,37,24,17,17,20,high ,high ,high ,high ,low ,low ,high ,moderate ,high ,high ,high ,high ,moderate ,high,moderate,moderate,moderate,high,C,Y,X,X,I,I,S,S
