3	Product Version: USB-60x3
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:10:25
3	Customer Serial Number: 200-371-1-1
3	Customer Name:  Luis Hernandez 
3	Customer Organization:  Univerisity of Michigan
3	--------------------------------------------------------
3	TimeValues	2019	3	20	15	49	41	UTC
3	TimeStamp	Wednesday, March 20, 2019, 11:49:41 AM 
3	DataFormat	2.9.0,009
3	ScreenSize	142.964	107.285	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count
7	 0.000000	EyeA FrameRate	60
2	 0.000000	+
2	 0.000000	+
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	0.5584	0.4370	0.5577	0.4379	1	0.1036	0.0938	1	1.1697	0
10	  0.0144	  14.4499	0.5584	0.4350	0.5583	0.4369	1	0.1003	0.0936	1	1.1842	1
10	  0.0312	  16.7545	0.5585	0.4419	0.5588	0.4385	1	0.0971	0.0933	1	1.2009	2
10	  0.0478	  16.6220	0.5548	0.4333	0.5575	0.4368	1	0.1007	0.0956	1	1.2176	3
10	  0.0647	  16.8414	0.5648	0.4489	0.5592	0.4398	1	0.1006	0.0564	1	1.2344	4
10	  0.0813	  16.6486	0.5519	0.4463	0.5575	0.4426	1	0.0973	0.0631	1	1.2511	5
10	  0.0981	  16.7503	0.5403	0.4736	0.5530	0.4505	1	0.0296	0.0258	1	1.2678	6
10	  0.1147	  16.6226	0.2314	0.3833	0.4721	0.4381	1	0.0332	0.0297	1	1.2844	7
10	  0.1315	  16.7729	0.2303	0.3870	0.3885	0.4226	-1	0.0343	0.0317	1	0.0168	8
10	  0.1481	  16.6033	0.2295	0.3855	0.3079	0.4074	-1	0.0344	0.0311	1	0.0166	9
10	  0.1648	  16.7657	0.2285	0.3875	0.2299	0.3858	-1	0.0333	0.0325	1	0.0168	10
10	  0.1814	  16.6042	0.2294	0.3859	0.2294	0.3865	-1	0.0343	0.0332	1	0.0166	11
10	  0.1982	  16.7720	0.2307	0.3876	0.2295	0.3866	-1	0.0342	0.0330	1	0.0334	12
10	  0.2148	  16.6033	0.2308	0.3838	0.2298	0.3862	-1	0.0343	0.0297	1	0.0500	13
10	  0.2316	  16.8085	0.5369	0.4667	0.3070	0.4060	-1	0.0462	0.0287	1	0.0668	14
10	  0.2482	  16.5894	0.5466	0.4451	0.3863	0.4208	-1	0.0966	0.0405	1	0.0166	15
