vol_num,question_num,keystrokes
1,[],[]
2,[],[]
3,[],[]
4,[],[]
5,[],[]
6,[],[]
7,[],['s']
8,[],"['e', 'c']"
9,[],['i']
10,[],[]
11,[],[]
12,[],[]
13,[],['<K:BS x=2>']
14,[],"['<K:BS x=2>', 'i']"
15,[],"['n', 'y', ' ', '<K:BS x=2>']"
16,[7],"['y', '<K:BS>']"
17,[7],"['t', ' ', 'd']"
18,[7],"['r', 'v', 'o', '<K:BS>']"
19,[7],"['<K:BS x=3>', 's']"
20,[7],"['e', 'v', 'o']"
21,[7],['<K:BS x=2>']
22,[7],"['v', '<K:BS>', 'b']"
23,[7],"['o', '<K:BS x=3>']"
24,[7],"['c', '<K:BS>']"
25,[7],"['e', 'c']"
26,[7],['p']
27,[7],"['<K:BS>', 'o']"
28,[7],"['n', 'd']"
29,[7],['<K:S>']
30,[7],"['<K:S x=4>', 'g', 'r']"
31,[7],"['e', 'a', 'y', 'e', 'r']"
32,[7],"['<K:BS x=3>', 't']"
33,[7],"['e', 's', 't']"
34,[7],['<K:S>']
35,[7],[']']
36,[7],"['<K:BS>', '0']"
37,[7],"['<K:S>', '<K:BS x=2>']"
38,[7],"['=', '<K:BS>']"
39,[7],['t']
40,[7],"['<K:S>', '0']"
41,[7],"['<K:BS>', '9']"
42,[7],[]
43,[7],[]
44,[7],['b']
45,[7],"['<K:BS>', 'b']"
46,[7],"['<K:BS>', 'v']"
47,[7],"['e', 'c']"
48,[7],['y']
49,[7],"['<K:BS>', 't', 'i', 'r']"
50,[7],"['<K:BS x=2>', 'p']"
51,[7],"['r', '<K:BS x=2>', 'o']"
52,[7],"['r', ' ']"
53,[7],"['<K:S>', '9']"
54,[7],"['<K:BS>', '7']"
55,[7],[]
56,[7],[]
57,[7],"['i', 'n', 't']"
58,[7],['r']
59,[7],['<K:BS>']
60,[7],"['e', 'g']"
61,[7],"['e', 'r', 't']"
62,[7],"['<K:BS>', 's']"
63,[7],['<K:L>']
64,[7],['<K:L x=11>']
65,[7],['<K:R x=2>']
66,[7],"['<K:S>', ',']"
67,[7],"['i', 'n', 't']"
68,[7],"['<K:S>', '.', '.', '=']"
69,[7],['<K:BS x=2>']
70,[7],['<K:R x=3>']
71,[7],"['<K:R x=17>', '<K:S>']"
72,[7],"[';', '<K:BS>']"
73,[7],['[']
74,[7],['\r']
75,[7],[]
76,[7],[]
77,[7],"['i', 'n', 't', ' ']"
78,[7],['g']
79,[7],['<K:BS>']
80,[7],[]
81,[7],[]
82,[7],[]
83,[7],[]
84,[7],[]
85,[7],[]
86,[7],[]
87,[7],[]
88,[7],[]
89,[7],[]
90,[7],[]
91,[7],[]
92,[],[]
93,[],[]
94,[],['<K:S x=3>']
95,[],[]
96,[],"['i', 'n']"
97,[0],[]
98,[0],[]
99,[0],['t']
100,[0],[]
101,[0],[]
102,[0],[]
103,[0],[]
104,[0],[]
105,[0],[]
106,[0],[]
107,[0],[]
108,[0],[]
109,[0],['<K:BS x=2>']
110,[0],['<K:BS>']
111,[0],"['i', '<K:BS>']"
112,[0],"['v', 'o', 'i']"
113,[0],"['d', ' ']"
114,[0],[]
115,[0],"['<K:S>', 'p', 'r']"
116,[0],"['n', '<K:BS>']"
117,[0],"['i', 'n', 't', '<K:S>', '9']"
118,[0],[]
119,[0],[]
120,[0],[]
121,[0],['i']
122,[0],"['n', 't', ' ']"
123,[0],"['m', 'o']"
124,[0],"['d', 'e', 'l']"
125,[0],"['<K:S>', 'y']"
126,[0],"['e', 'a', 'r']"
127,[0],"[',', ' ', 's', 't', 'r']"
128,[0],[]
