participant-id,category,timestamp,prompt,answer,stimulus-id,previous-delay,stimulus_time
101,0,275020179.225044,"Fill in the blank below","New York fashion designer Anna Sui creates eclectic ____cjothin____ that represent an amalgam of playful, 1970's funky style fused with an edgy, urban sensibility.",8,12648.480850758842,30000
101,0,275055253.58852,"Fill in the blank below","Since the foreign correspondent was accustomed to completing his ____work____ under tumultuous conditions, the commotion of the subway at rush hour presented no impediment to his creativity.",6,5042.64261732144,30000
101,0,275089588.383404,"Fill in the blank below","Over the years the anthropologist's opinions had ossified: he refused to tolerate new ideas and nothing could ____change____ his mind.",13,4303.942733144843,30000
101,0,275123358.459243,"Fill in the blank below","Once his integrity had been challenged, the mayoral candidate was quick both to dismiss these attacks and to ____dissemenate____ counterattacks.",14,3743.141274540415,30000
101,0,275157521.182405,"Fill in the blank below","Because he had decided not to glorify himself through the sales of his new product, the inventor anonymously ____donate____ all profits to charity.",15,4138.530487319011,30000
101,0,275195054.172438,"Fill in the blank below","Angered that the book arrived in the mail in such a shabby condition, Elliot insisted that the bookseller ____resend____ it with a new copy.",16,7507.99487489838,30000
101,0,275232402.320467,"Fill in the blank below","The library's ____basement____ is a trove of Asian American historical documents, including rare materials about race relations.",4,7326.459645295065,30000
101,0,275267467.811993,"Fill in the blank below","Using detailed observations made by ancient astronomers in China, Korea, and Japan to complement data ____compiled____ by modern instruments, scientists can establish precisely when a particular star exploded.",11,5026.525666386434,30000
101,0,275301430.398607,"Fill in the blank below","Brian was so fond of his dog that their brief ____time apart____ left him not just saddened, but in a state of sorrow.",5,3934.417140326944,30000
101,0,275337653.507624,"Fill in the blank below","The admiral rescinded her ____decision____ to attack when she saw the white flag raised by the enemy sailors; she was relieved that she could bring an end to the hostilities.",1,6187.282570066416,30000
101,0,275373220.251849,"Fill in the blank below","The lectures on quantum physics were invariably dull; the lecturer ____dekivered____ his ill-prepared material in a manner guaranteed to send even the most ardent student to sleep.",9,5549.480647091267,30000
101,0,275408135.352723,"Fill in the blank below","Architects define a physical structure as a set of materials arranged in such a way that these materials can resist the downward ____pull____ of gravity.",2,4890.853660544846,30000
101,0,275444652.381846,"Fill in the blank below","The progress of the disease is subtle; it ____begins____ stealthily without any symptoms in the early stages.",10,6487.129152402302,30000
101,0,275481955.441615,"Fill in the blank below","In addition to evaluating ____books____ of resumes and references, some employers want to supplement the hiring process by employing graphologists to study applicants' handwriting for character analysis.",7,7280.169841138341,30000
101,0,275515022.270314,"Fill in the blank below","To reach Simonville, the traveller needs to drive with extreme caution along the windy curves of the ____icy____ road that climbs steeply to the summit.",0,3050.8141748365742,30000
101,0,275547767.464467,"Fill in the blank below","According to the ancient Greek philosopher Plato, only philosophy can provide genuine understanding because it scrutinizes assumptions that other areas of study merely ____takes____ for granted.",12,2718.830502250811,30000
101,0,275582966.042458,"Fill in the blank below","In frigid regions a ____layer____ of ice under the soil surface prevents water from sinking deep into the soil, and so the water floods the land, helping to create bog and swamp conditions.",3,5163.30416167807,30000
