participant-id,category,timestamp,prompt,answer,stimulus-id,previous-delay,stimulus_time
117,2,77513680.198656,"Complete the definition of the function absoluteValue such that it receives an integer parameter and returns the absolute value of the parameter's value.","int absoluteValue(int num1) {\n\t/* YOUR CODE HERE */\n\t\n\tabsoluteValue = abs(num1);\n\treturn absoluteValue;\n}\n",2,14454.490637012554,30000
117,2,77549005.138129,"Given an int variable k that has already been declared, use a  for loop to print a single line consisting of 97 asterisks. Use no variables other than k.","for )int i = 0 ; i < k ++i{\n\tcout << *;\n}\n",7,5300.2840592428865,30000
117,2,77583964.337701,"Write the definition of a function firstEqualsLast that checks if the first character of one string is the same as the last character of a second string","bool firstEqualsLast(string a, string b) {\n\t/* YOUR CODE HERE */\n\tif a.frontk() == b.back() return true;\n}\n",16,4931.478531187173,30000
117,2,77618720.095799,"Complete the definition of a function max that has three int parameters and returns the largest.","int max(int x,int y,int z) {\n\tif (x > z && x > y) {\n\t\treturn x;\n\t} else if (/*YOUR CODE HERE*/y > x) {\n\t\treturn y;\n\t} else {\n\t\treturn z;\n\t}\n}\n",12,4731.520413014937,30000
117,2,77654505.960269,"Given that an array of int named a has been declared with 12 elements and that the integer variable k holds a value between 0 and 6. Assign 9 to the element just after a[k].","a[k+1] = 9;",10,5766.076860489607,30000
117,2,77688826.905423,"You are given a 6x8 (6 rows, 8 columns) array of integers, x, already initialized and three integer variables: max, i and j. Write the necessary code so that max will have the largest value in the array x.","max = x[0][0];\nfor(i = 0; i < 6; i++){\n\tfor(j = 0; j < 8; j++){\n\t\tif(x[i]j > max){\n\t\t\tmax = x[i][j];\n\t\t}\n\t}\n}\n",14,4288.619184276627,30000
117,2,77722131.189454,"Using two statements, complete the definition of the function swapints that is passed two int variables. The function returns nothing but exchanges the values of the two variables.","void swapints(int &a, int &b){\n\tint temp = a;\n\t/* YOUR CODE HERE */\n\ta = b;\n      b= temp;\n}\n",0,3282.410171978117,30000
117,2,77755137.21145,"Complete the switch statement to output "Moo!" when the value of animal is "cow"","switch(animal) {\n\tcase pig:\n\t\tcout << Oink! << endl;\n\t\tbreak;\n\tcase hen:\n\tcout << Cluck! << endl;\n\t\tbreak;\n\t/* YOUR CODE HERE */\n\tcase cow\n\t\tcout << MOO@\n}\t\tbreak;\n",15,2967.4104817563666,30000
117,2,77789819.824231,"Using one expression, complete the function notDivisibleByThree that returns false if x is divisible by three, and true otherwise","bool notDivisibleByThree(int x){\n\treturn /*YOUR CODE HERE*/x % 3 ;\n}\n",9,4659.403583613399,30000
117,2,77827259.079253,"Given two 3x5 2D arrays of integer, x1 and x2, write the code needed to copy every value from x1 to its corresponding element in x2.","for(int i = 0; i < 3; i++){\n\tfor(int j = 0; j < 5; j++){\n\t\t/* YOUR CODE HERE */\n\t\tx2[i]p[j] = x1[i][j]\n\t}\n}\n",13,7408.081543702345,30000
117,2,77865434.98661,"Complete the for loop such that it prints the odd integers 11 through 121 inclusive, separated by spaces.","for (int i = 11; i <= 121; /* YOUR CODE HERE */i += 2) {\n\tcout << i <<  ;\n}\n",3,8154.4648354365445,30000
117,2,77899002.715127,"Write the definition of a function min that has two int parameters and returns the smaller.","int min (int num1, int num2) {\n\t/* YOUR CODE HERE */\n\tif num1 < num2 return num1;\n  else return num2}\n",6,3538.8781143193646,30000
117,2,77937293.47956,"Complete the assignment of the variable isFailing such that it is set to true if exam_score is less than 50, and false otherwise","int exam_score;\ncin >> exam_score;\nbool isFailing = /* YOUR CODE HERE */true;\nif (isFailing) {\n\tcout << You failed! << endl;\n} else {\n\tcout << You passed! << endl;\n}\n",8,7679.1552260251265,30000
117,2,77971152.964293,"Complete the if/else statement such that it assigns true to the variable fever if the variable temperature is greater than 98.6; otherwise it assigns false to fever.","if (temperature > 98.6) {\n\t/* YOUR CODE HERE */\n\tfever = true;\n} else {\n\tfever = false;\n}\n",11,3834.52090541805,30000
117,2,78007157.161963,"Write a for loop that prints the integers 1 through 40, separated by spaces or new lines. You may use only one variable, count which has already been declared as an integer.","for (/* YOUR CODE HERE */int count = 1; i < 41; ++i) {\n\tcout << count <<  ;\n}\n",5,5976.873971271581,30000
117,2,78040681.280046,"Complete the definition of a function isSenior, that receives an integer parameter and returns true if the parameter's value is greater or equal to 65, and false otherwise.","bool isSenior(int age) {\n\t/* YOUR CODE HERE */\n\treturn age >= 65;\n}\n",4,3501.6351034902154,30000
117,2,78075236.148952,"Write a function addOne that adds 1 to its integer reference parameter. The function returns nothing.","void addOne (int& x) {\n\t/* YOUR CODE HERE */\n\tx += 1;\n}\n",1,4524.696377765085,30000
