3	Product Version: USB-60x3
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:10:25
3	Customer Serial Number: 200-371-1-1
3	Customer Name:  Luis Hernandez 
3	Customer Organization:  Univerisity of Michigan
3	--------------------------------------------------------
3	TimeValues	2019	3	28	17	54	39	UTC
3	TimeStamp	Thursday, March 28, 2019, 1:54:39 PM 
3	DataFormat	2.9.0,009
3	ScreenSize	142.964	107.285	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	SimpleMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count
7	 0.000000	EyeA FrameRate	60
2	 0.000000	+
2	 0.000000	+
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	0.5407	0.5179	0.5408	0.5188	1	0.1457	0.1032	1	0.1195	0
10	  0.0139	  13.8892	0.5393	0.5187	0.5407	0.5179	1	0.1432	0.1031	1	0.1334	1
10	  0.0305	  16.5712	0.5415	0.5167	0.5405	0.5176	1	0.1450	0.1041	1	0.1500	2
10	  0.0473	  16.8251	0.5398	0.5192	0.5403	0.5181	1	0.1446	0.1052	1	0.1668	3
10	  0.0639	  16.6014	0.5411	0.5190	0.5404	0.5184	1	0.1484	0.1007	1	0.1834	4
10	  0.0808	  16.8794	0.5381	0.5204	0.5401	0.5188	1	0.1426	0.1049	1	0.2003	5
10	  0.0974	  16.6216	0.5406	0.5175	0.5399	0.5190	1	0.1462	0.1041	1	0.2169	6
10	  0.1142	  16.7883	0.5396	0.5182	0.5398	0.5188	1	0.1471	0.1054	1	0.2337	7
10	  0.1307	  16.5646	0.5381	0.5177	0.5391	0.5185	1	0.1439	0.1031	1	0.2503	8
10	  0.1476	  16.8124	0.5384	0.5190	0.5392	0.5181	1	0.1504	0.1042	1	0.2671	9
10	  0.1641	  16.5851	0.5390	0.5144	0.5388	0.5173	1	0.1477	0.1001	1	0.2837	10
10	  0.1809	  16.7572	0.5392	0.5214	0.5387	0.5181	1	0.1490	0.1031	1	0.3004	11
10	  0.1975	  16.5878	0.5404	0.5147	0.5393	0.5174	1	0.1469	0.1032	1	0.3170	12
10	  0.2143	  16.8073	0.5393	0.5210	0.5395	0.5179	1	0.1504	0.1015	1	0.3338	13
10	  0.2308	  16.5510	0.5399	0.5171	0.5397	0.5185	1	0.1447	0.1058	1	0.3504	14
10	  0.2476	  16.7206	0.5370	0.5181	0.5392	0.5177	1	0.1536	0.1062	1	0.3671	15
10	  0.2642	  16.6630	0.5408	0.5156	0.5393	0.5179	1	0.1434	0.1027	1	0.3838	16
